BMP,Itens,apartamento,situacao,data_cadastro,ultimo_comentario,data_ultima_inspecao,data_atualizacao
1500869,"Mesa De Carteado Para Até 04 (Quatro) Jogadores, Marca: Mesarts.",,,,,,
1500870,"Mesa De Carteado Para Até 04 (Quatro) Jogadores, Marca: Mesarts.",,,,,,
1528091,"Mesa De Sinuca Com Acessórios (Taco, Bolas, Capa, Fancho, Giz, Quadro Negro E Triângulo). Marca:",,,,,,
710326,Furadeira Dw 503s 3/B Paraf/Impacto 110 V Marca De Walt (SISPAT: 55936001 - FCG: 55936),,,,,,
1212411,"Nobreak Sms Net Station Ust 600s Mono Regulação On-Line Plugue Padrão Novo De Tomadas,",,,,,,
1826042,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826043,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826044,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826045,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826046,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826047,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826048,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826049,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826050,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826051,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
1826052,"Luz De Emergência Com 30 Leds Smd De Alto Brilho, Bivolt. Marca: Metalcasty.",,,,,,
